Month,AUD_LKR,GBP_LKR,JPY_LKR,KWD_LKR,USD_LKR
2024-04,194.97385789473682,375.1479105263158,1.9487105263157896,972.6118789473685,299.4231842105263
2024-05,198.56054,378.39162,1.92366,975.3815000000001,299.692335
2024-06,201.90183333333334,386.6285333333333,1.9260833333333334,990.6998444444445,303.8120777777778
2024-07,202.71058260869563,390.3599869565217,1.9224173913043479,992.8824956521739,303.75594347826086
2024-08,199.95374285714283,388.88146666666665,2.054904761904762,983.6317666666667,300.6683
2024-09,203.89437368421054,397.8532526315789,2.0980368421052633,986.5910631578946,301.1505
2024-10,197.5694714285714,384.1241476190476,1.9671761904761904,958.8332761904762,293.7851380952381
2024-11,190.960985,372.591055,1.902185,950.36666,292.009205
2024-12,184.96288571428573,368.87041904761907,1.900209523809524,947.8413476190477,291.68051428571425
2025-01,184.59934285714286,366.57264761904764,1.8933142857142857,960.4682666666668,296.1796047619048
2025-02,186.9961470588235,371.9959411764706,1.9568529411764706,961.6457,296.80343529411766
2025-03,186.40394736842106,381.6842315789474,1.9840473684210527,959.8506842105263,295.90903157894735
2025-04,187.69200526315788,392.1499842105263,2.0662526315789473,971.9979789473683,298.5311947368421
